date,staff_id,reason,old_asset_model,old_asset_serial_number,replaced_asset_model,replaced_asset_serial_number,hostname,issue,remarks
2024-07-23,130998324,breakfix,HP Book 2.0 Model,LAP-3FF8B095F9,HP Book 2.0 Model,LAP-14039DEEB3,HOST-9288,software,Performance issue
2025-02-01,186675240,breakfix,Dell Laptop X12 Model,LAP-436B12BB3E,Dell Laptop X12 Model,LAP-47C697A63B,HOST-5002,software,Physical damage
2025-08-16,938303850,transfer,Dell Laptop X12 Model,LAP-33ED4A007A,Dell Laptop X12 Model,LAP-25878C535A,HOST-9900,software,User requested replacement
2024-03-26,154308262,new joiner,Wireless Headset Cushion,WH-F832161444,Wireless Headset Cushion,WH-F3F33A3D1A,HOST-1128,software,Device not powering on
2025-09-09,369639388,transfer,HP Book 2.0 Model,LAP-8C2C60EC69,HP Book 2.0 Model,LAP-903E4D8924,HOST-2891,hardware,User requested replacement
2025-08-18,178255153,transfer,HP Book 2.0 Model,LAP-F35664A2CE,HP Book 2.0 Model,LAP-C14513D4EE,HOST-5616,hardware,Physical damage
2025-06-30,846564420,new joiner,Wireless Headset Cushion,WH-AC34491E8F,Wireless Headset Cushion,WH-2246063D1C,HOST-5325,software,Physical damage
2025-12-03,639198004,breakfix,HP Book 2.0 Model,LAP-40A5BD2641,HP Book 2.0 Model,LAP-F8338BD255,HOST-7939,software,Device not powering on
2026-01-21,254614401,transfer,Wireless Headset Cushion,WH-342EDB90D2,Wireless Headset Cushion,WH-E027D208ED,HOST-3143,software,Performance issue
2024-10-29,295381429,new joiner,HP Book 2.0 Model,LAP-570C57F280,HP Book 2.0 Model,LAP-F58184B32A,HOST-8007,hardware,Device not powering on
2025-11-08,140680121,new joiner,JBL Wireless Headset,WH-C03FD6C432,JBL Wireless Headset,WH-B066A8F6DB,HOST-3442,hardware,Physical damage
2024-06-07,829693657,new joiner,Dell Laptop X12 Model,LAP-A50DBD09DD,Dell Laptop X12 Model,LAP-6754852B94,HOST-3426,software,Performance issue
2025-12-13,209856785,transfer,HP Book 2.0 Model,LAP-969B8CC5D7,HP Book 2.0 Model,LAP-4ABDB91FDF,HOST-6974,hardware,Physical damage
2025-06-23,717554752,new joiner,HP Book 2.0 Model,LAP-D7CEA05FC6,HP Book 2.0 Model,LAP-B1F0381DD9,HOST-5088,hardware,Physical damage
2024-06-30,264494545,transfer,HP Book 2.0 Model,LAP-482E9AC96F,HP Book 2.0 Model,LAP-523819118B,HOST-3532,hardware,Performance issue
2025-07-27,586239368,transfer,Dell Laptop X12 Model,LAP-46C70408A8,Dell Laptop X12 Model,LAP-998EC9B9AC,HOST-1406,hardware,Physical damage
2024-11-29,143036559,new joiner,Lenovo Laptop 324 Model,LAP-467DA0CB2C,Lenovo Laptop 324 Model,LAP-DDCCF002F8,HOST-5065,software,Performance issue
2024-02-06,658260221,breakfix,Wireless Headset Cushion,WH-40FAAA6472,Wireless Headset Cushion,WH-555C570895,HOST-7267,hardware,OS corruption
2025-06-11,303832812,breakfix,HP Book 2.0 Model,LAP-EF30CE6613,HP Book 2.0 Model,LAP-651D32F68A,HOST-8541,software,Physical damage
2025-06-05,541133739,breakfix,JBL Wireless Headset,WH-099ED835D8,JBL Wireless Headset,WH-02E9EC8E91,HOST-1387,hardware,OS corruption
2025-02-22,274648506,transfer,JBL Wireless Headset,WH-56AA0F62D4,JBL Wireless Headset,WH-BC43C5CC59,HOST-2137,software,Physical damage
2024-04-08,280443225,new joiner,HP Book 2.0 Model,LAP-5D1F47BBAF,HP Book 2.0 Model,LAP-E407569564,HOST-7548,software,Device not powering on
2025-09-28,420824516,transfer,Dell Laptop X12 Model,LAP-85112544DF,Dell Laptop X12 Model,LAP-83E9DD0E7B,HOST-3925,software,Device not powering on
2025-10-05,142683817,new joiner,Dell Laptop X12 Model,LAP-04CBC5BEC0,Dell Laptop X12 Model,LAP-F96AF2CBA8,HOST-8119,software,Physical damage
2024-11-04,891474266,new joiner,Dell Laptop X12 Model,LAP-D291298CDE,Dell Laptop X12 Model,LAP-7D193773BC,HOST-9379,hardware,OS corruption
2024-06-13,889991777,breakfix,Dell Laptop X12 Model,LAP-BFC13BB628,Dell Laptop X12 Model,LAP-E6AF9B1B6E,HOST-5173,hardware,OS corruption
2026-01-23,715683222,new joiner,HP Book 2.0 Model,LAP-16A1497828,HP Book 2.0 Model,LAP-E2214553C2,HOST-9821,hardware,Physical damage
2024-11-09,740031190,breakfix,Wireless Headset Cushion,WH-59E3DDBCED,Wireless Headset Cushion,WH-6A819074AF,HOST-6409,software,Device not powering on
2025-03-23,502911719,new joiner,HP Book 2.0 Model,LAP-CB273A20EA,HP Book 2.0 Model,LAP-9050AC53FA,HOST-6067,software,Physical damage
2024-12-08,514548900,new joiner,Wireless Headset Cushion,WH-C863BF1B43,Wireless Headset Cushion,WH-30D70B7924,HOST-5844,hardware,Performance issue
2024-11-20,713546516,new joiner,Dell Laptop X12 Model,LAP-ED644C565A,Dell Laptop X12 Model,LAP-6CE22D87B0,HOST-7211,hardware,User requested replacement
2024-06-21,683275843,transfer,HP Book 2.0 Model,LAP-EDFC91310B,HP Book 2.0 Model,LAP-C35CBFBA31,HOST-7653,hardware,Physical damage
2025-04-06,176605123,breakfix,HP Book 2.0 Model,LAP-AA9086C1F3,HP Book 2.0 Model,LAP-9C5A8881CD,HOST-8043,software,OS corruption
2024-10-29,208426285,transfer,JBL Wireless Headset,WH-98A5223C24,JBL Wireless Headset,WH-6993E33E5D,HOST-4501,software,Performance issue
2024-03-21,907803348,breakfix,Dell Laptop X12 Model,LAP-55DA694FF8,Dell Laptop X12 Model,LAP-26FD21AEEE,HOST-5649,software,Device not powering on
2025-05-29,356415500,new joiner,Dell Laptop X12 Model,LAP-017C10BF10,Dell Laptop X12 Model,LAP-1B5447C282,HOST-6085,hardware,Performance issue
2025-08-27,872482077,breakfix,Dell Laptop X12 Model,LAP-A92A00FF18,Dell Laptop X12 Model,LAP-6C9BFC0D7D,HOST-1757,hardware,OS corruption
2024-05-09,324130818,breakfix,HP Book 2.0 Model,LAP-315DC42A4B,HP Book 2.0 Model,LAP-3655FD8009,HOST-8461,software,User requested replacement
2025-07-09,197057590,new joiner,JBL Wireless Headset,WH-2FBE342ED1,JBL Wireless Headset,WH-929850111C,HOST-7291,software,OS corruption
2025-05-20,290679038,breakfix,HP Book 2.0 Model,LAP-B3010C3867,HP Book 2.0 Model,LAP-9B3F3A5B32,HOST-1090,hardware,OS corruption
2025-06-14,856456108,breakfix,JBL Wireless Headset,WH-D0DAC3E2E1,JBL Wireless Headset,WH-D4EDE81722,HOST-9486,software,Device not powering on
2024-07-03,716416868,breakfix,Wireless Headset Cushion,WH-D0CC8AB2B6,Wireless Headset Cushion,WH-7E3C1B2133,HOST-2988,software,Performance issue
2024-10-06,275452091,new joiner,Dell Laptop X12 Model,LAP-E942BA47DB,Dell Laptop X12 Model,LAP-1AE90F934C,HOST-9702,software,OS corruption
2024-05-07,436370919,new joiner,HP Book 2.0 Model,LAP-5D842BAC7A,HP Book 2.0 Model,LAP-32420E76A7,HOST-9270,software,User requested replacement
2024-10-25,800346424,breakfix,HP Book 2.0 Model,LAP-D097059A34,HP Book 2.0 Model,LAP-BA46C318ED,HOST-8777,software,Physical damage
2025-05-16,836410568,new joiner,HP Book 2.0 Model,LAP-C7250168C8,HP Book 2.0 Model,LAP-2A2C51044C,HOST-5543,software,Performance issue
2025-04-18,432184213,transfer,HP Book 2.0 Model,LAP-C4FA8B3AD9,HP Book 2.0 Model,LAP-519018B3E5,HOST-2269,software,Performance issue
2025-04-21,748245888,transfer,Dell Laptop X12 Model,LAP-3F90313E57,Dell Laptop X12 Model,LAP-79A6BC48E0,HOST-6238,hardware,Performance issue
2025-08-23,124250578,breakfix,HP Book 2.0 Model,LAP-C7046EA997,HP Book 2.0 Model,LAP-F29485C646,HOST-7275,hardware,Performance issue
2025-11-20,448981305,transfer,Wireless Headset Cushion,WH-F7DC5B296E,Wireless Headset Cushion,WH-744323A9EB,HOST-7678,software,User requested replacement
2024-10-04,547506309,transfer,HP Book 2.0 Model,LAP-528861070F,HP Book 2.0 Model,LAP-0DF566875E,HOST-2020,hardware,OS corruption
2024-12-22,171947052,new joiner,Dell Laptop X12 Model,LAP-9B3C9974F2,Dell Laptop X12 Model,LAP-151C9554A5,HOST-1320,software,OS corruption
2026-01-18,664735673,transfer,Wireless Headset Cushion,WH-CFF273FEB2,Wireless Headset Cushion,WH-6E12FF0B38,HOST-5892,software,OS corruption
2024-07-22,632168774,new joiner,HP Book 2.0 Model,LAP-0254123093,HP Book 2.0 Model,LAP-C21A01DE1A,HOST-9947,hardware,OS corruption
2025-06-14,643267978,transfer,HP Book 2.0 Model,LAP-D5FC7B7C62,HP Book 2.0 Model,LAP-3E24E47FDD,HOST-8140,software,Device not powering on
2024-12-22,901955461,transfer,JBL Wireless Headset,WH-860E81EFAF,JBL Wireless Headset,WH-B0C3CA3177,HOST-7624,hardware,OS corruption
2025-09-16,834518883,new joiner,JBL Wireless Headset,WH-1B0523F223,JBL Wireless Headset,WH-CB626124FF,HOST-9751,hardware,OS corruption
2024-05-28,960514523,new joiner,Wireless Headset Cushion,WH-588F45823F,Wireless Headset Cushion,WH-023F1989A2,HOST-1444,hardware,OS corruption
2025-09-08,364623437,transfer,HP Book 2.0 Model,LAP-6BD3E0C6D4,HP Book 2.0 Model,LAP-BC6D599F82,HOST-3977,hardware,Physical damage
2025-01-01,328450041,transfer,Dell Laptop X12 Model,LAP-9C5DC4A84A,Dell Laptop X12 Model,LAP-0911F5D696,HOST-4467,software,Physical damage
2025-02-13,676762622,transfer,HP Book 2.0 Model,LAP-261C7686F5,HP Book 2.0 Model,LAP-475E93670F,HOST-5558,software,Physical damage
2025-11-02,278073155,transfer,Dell Laptop X12 Model,LAP-E05930D356,Dell Laptop X12 Model,LAP-8D263C4C76,HOST-1317,hardware,Physical damage
2025-06-09,130286569,new joiner,JBL Wireless Headset,WH-7789860F05,JBL Wireless Headset,WH-48551F5754,HOST-2124,hardware,Device not powering on
2025-05-16,341423782,breakfix,Dell Laptop X12 Model,LAP-C9FEBC9263,Dell Laptop X12 Model,LAP-118CC9A1CD,HOST-1333,hardware,Performance issue
2025-09-17,900592344,transfer,HP Book 2.0 Model,LAP-9EE6654A02,HP Book 2.0 Model,LAP-0694C71922,HOST-2874,hardware,OS corruption
2024-02-08,588293766,transfer,Wireless Headset Cushion,WH-FC66D0CFCB,Wireless Headset Cushion,WH-BEE9E585E2,HOST-7043,hardware,User requested replacement
2024-05-13,817888322,new joiner,JBL Wireless Headset,WH-BA4654C823,JBL Wireless Headset,WH-2740B26CAB,HOST-2876,hardware,Physical damage
2025-10-06,757110239,new joiner,HP Book 2.0 Model,LAP-AA40E0DEA6,HP Book 2.0 Model,LAP-2BAC5F4644,HOST-1420,software,User requested replacement
2024-03-02,921584159,transfer,HP Book 2.0 Model,LAP-5191FC25E3,HP Book 2.0 Model,LAP-722DA6A0E5,HOST-7498,hardware,Device not powering on
2024-05-28,920184955,new joiner,HP Book 2.0 Model,LAP-6B9BB06CB6,HP Book 2.0 Model,LAP-9C409715F9,HOST-4978,hardware,Physical damage
2024-02-24,591429705,new joiner,Wireless Headset Cushion,WH-C62A016633,Wireless Headset Cushion,WH-C047CA0A03,HOST-2983,hardware,Physical damage
2024-07-28,481508232,transfer,Dell Laptop X12 Model,LAP-36F2438FC4,Dell Laptop X12 Model,LAP-6891F695F2,HOST-7071,hardware,User requested replacement
2024-04-01,523431477,transfer,HP Book 2.0 Model,LAP-4F50A558B3,HP Book 2.0 Model,LAP-5AE9BE5C84,HOST-1207,software,OS corruption
2025-10-08,805774632,transfer,Dell Laptop X12 Model,LAP-3D2771CABF,Dell Laptop X12 Model,LAP-9CF6F6F48E,HOST-6934,software,Performance issue
2024-11-05,953598460,breakfix,Dell Laptop X12 Model,LAP-0389F8B0C1,Dell Laptop X12 Model,LAP-73613201B7,HOST-9548,software,User requested replacement
2024-07-22,665254032,transfer,Lenovo Laptop 324 Model,LAP-7B78225E6F,Lenovo Laptop 324 Model,LAP-204DBD3F3B,HOST-8616,software,User requested replacement
2025-04-25,898302819,transfer,HP Book 2.0 Model,LAP-4B23EA7E93,HP Book 2.0 Model,LAP-DDEEF5B693,HOST-5022,hardware,Physical damage
2024-10-20,829670847,breakfix,JBL Wireless Headset,WH-8DBB16113F,JBL Wireless Headset,WH-F8DBDA1884,HOST-8613,software,Physical damage
2025-12-26,781068259,transfer,HP Book 2.0 Model,LAP-8057B24354,HP Book 2.0 Model,LAP-110ADF3F3E,HOST-6325,hardware,OS corruption
2025-06-21,290812817,transfer,Dell Laptop X12 Model,LAP-52889988C1,Dell Laptop X12 Model,LAP-5BE3C1816B,HOST-5232,software,Physical damage
2024-05-24,585308092,new joiner,JBL Wireless Headset,WH-AA58EC8F84,JBL Wireless Headset,WH-8D31C75231,HOST-5526,hardware,User requested replacement
2025-07-13,847843987,breakfix,JBL Wireless Headset,WH-B2EEF209CA,JBL Wireless Headset,WH-FAAEC962B9,HOST-4954,software,OS corruption
2024-07-05,565973314,breakfix,Dell Laptop X12 Model,LAP-D98B408F20,Dell Laptop X12 Model,LAP-23CC332DEC,HOST-8800,software,OS corruption
2026-01-07,434702822,breakfix,JBL Wireless Headset,WH-3CCBA3EDB9,JBL Wireless Headset,WH-AB238C8A9D,HOST-5820,hardware,OS corruption
2024-02-16,463718119,breakfix,Wireless Headset Cushion,WH-BA74CBB676,Wireless Headset Cushion,WH-26FE108B6C,HOST-6016,software,OS corruption
2024-07-07,279738803,new joiner,JBL Wireless Headset,WH-8487B6C4B2,JBL Wireless Headset,WH-8799B1F99C,HOST-6632,software,User requested replacement
2025-02-20,766741351,transfer,HP Book 2.0 Model,LAP-FF37847797,HP Book 2.0 Model,LAP-9788FF1419,HOST-8434,software,Physical damage
2025-05-12,183839817,breakfix,Dell Laptop X12 Model,LAP-52529CCBB3,Dell Laptop X12 Model,LAP-FD878E2010,HOST-2976,hardware,Physical damage
2025-09-24,214860711,new joiner,Wireless Headset Cushion,WH-72F473A048,Wireless Headset Cushion,WH-6AF1C671CE,HOST-9779,hardware,Performance issue
2025-06-17,803771909,new joiner,Dell Laptop X12 Model,LAP-6A6469B0C7,Dell Laptop X12 Model,LAP-A69703F5B0,HOST-8933,software,User requested replacement
2024-08-05,278073155,new joiner,Dell Laptop X12 Model,LAP-E05930D356,Dell Laptop X12 Model,LAP-854C579FE9,HOST-5636,hardware,Performance issue
2025-03-27,894119729,breakfix,JBL Wireless Headset,WH-5665AC06D4,JBL Wireless Headset,WH-80456B518F,HOST-6912,hardware,Physical damage
2026-01-10,334978881,new joiner,Wireless Headset Cushion,WH-199E27D0A1,Wireless Headset Cushion,WH-83250F4E28,HOST-9751,hardware,Physical damage
2025-12-09,433245127,breakfix,JBL Wireless Headset,WH-EE4F389FC2,JBL Wireless Headset,WH-D25D6C3389,HOST-5786,hardware,OS corruption
2025-10-11,186237917,breakfix,Wireless Headset Cushion,WH-5CC1D6026F,Wireless Headset Cushion,WH-7636C2129F,HOST-5658,software,OS corruption
2024-10-30,249160711,transfer,JBL Wireless Headset,WH-DC6C9149F9,JBL Wireless Headset,WH-51AC52F30F,HOST-4020,hardware,Physical damage
2024-09-22,718774770,breakfix,Wireless Headset Cushion,WH-37ECBEB75D,Wireless Headset Cushion,WH-06B6871149,HOST-2070,software,OS corruption
2025-11-10,546863451,new joiner,JBL Wireless Headset,WH-C110B93B59,JBL Wireless Headset,WH-3011D2AF6A,HOST-1878,hardware,Performance issue
2024-06-27,361807423,transfer,Dell Laptop X12 Model,LAP-DC56002CAD,Dell Laptop X12 Model,LAP-DC56EAC49B,HOST-2395,hardware,Device not powering on
2024-07-02,542098017,transfer,HP Book 2.0 Model,LAP-4AE009FDE4,HP Book 2.0 Model,LAP-284D71DEC9,HOST-4697,software,OS corruption
2024-10-28,544389067,transfer,HP Book 2.0 Model,LAP-ED0A92232F,HP Book 2.0 Model,LAP-A54F23D03E,HOST-8025,software,User requested replacement
2024-04-29,341266931,breakfix,Dell Laptop X12 Model,LAP-C0A0BCB49B,Dell Laptop X12 Model,LAP-54A7637892,HOST-2625,hardware,Performance issue
2025-04-29,568284652,new joiner,Wireless Headset Cushion,WH-0EF53F9DA4,Wireless Headset Cushion,WH-B83DB7A537,HOST-2330,hardware,Performance issue
2025-07-31,456476596,new joiner,Dell Laptop X12 Model,LAP-BA34FB6A31,Dell Laptop X12 Model,LAP-1B3672A3B9,HOST-2229,hardware,Device not powering on
2024-12-02,535355406,transfer,JBL Wireless Headset,WH-DE02955EED,JBL Wireless Headset,WH-3CE5115E43,HOST-8699,software,Device not powering on
2025-06-01,161994392,transfer,HP Book 2.0 Model,LAP-89B7AD5A93,HP Book 2.0 Model,LAP-084651BDD9,HOST-5632,software,Device not powering on
2024-02-21,298407302,breakfix,HP Book 2.0 Model,LAP-14EF8243E9,HP Book 2.0 Model,LAP-DB46DB705D,HOST-5334,hardware,OS corruption
2025-09-29,194264587,new joiner,HP Book 2.0 Model,LAP-74DB4B9C35,HP Book 2.0 Model,LAP-41C3ADA161,HOST-4683,hardware,Physical damage
2025-09-01,955512146,breakfix,HP Book 2.0 Model,LAP-48048715B8,HP Book 2.0 Model,LAP-DB55314974,HOST-1977,hardware,Physical damage
2024-05-25,642879692,new joiner,HP Book 2.0 Model,LAP-2ACF1D887C,HP Book 2.0 Model,LAP-91A984718D,HOST-5728,software,Device not powering on
2024-10-02,217999418,new joiner,Wireless Headset Cushion,WH-F811D999DF,Wireless Headset Cushion,WH-AAE424E9DA,HOST-5982,software,Physical damage
