laptop_serial_number,laptop_model,status,end_of_life
LAP-42AB85BFBB,MacBook M2 Model,issued,yes
LAP-630D51464C,Lenovo Laptop 324 Model,issued,
LAP-022F429626,MacBook M2 Model,issued,yes
LAP-0B0A024770,Lenovo Laptop 324 Model,issued,
LAP-F784CD1CC7,MacBook M2 Model,issued,yes
LAP-A6D56B139F,Lenovo Laptop 324 Model,issued,n/a
LAP-6066A549E4,Lenovo Laptop 324 Model,issued,n/a
LAP-B46FF478D6,MacBook M2 Model,issued,no
LAP-A8DA9AEA08,MacBook M2 Model,issued,yes
LAP-65E04678FB,MacBook M2 Model,issued,yes
LAP-45415BB6B0,MacBook M2 Model,issued,no
LAP-8CD1DF224E,Lenovo Laptop 324 Model,issued,n/a
LAP-304C142DCD,MacBook M2 Model,issued,yes
LAP-7CA2145427,Lenovo Laptop 324 Model,issued,no
LAP-F614883D85,MacBook M2 Model,issued,yes
LAP-A136D21B01,MacBook M2 Model,issued,
LAP-0E30F5E07A,MacBook M2 Model,issued,n/a
LAP-9ADC532A47,MacBook M2 Model,issued,
LAP-5A99DB6231,Lenovo Laptop 324 Model,issued,n/a
LAP-2A43C91E68,MacBook M2 Model,issued,no
LAP-0BBDA3C273,MacBook M2 Model,issued,n/a
LAP-7400523C92,MacBook M2 Model,issued,n/a
LAP-70DEB3399A,Lenovo Laptop 324 Model,issued,no
LAP-AF9490A7D4,Lenovo Laptop 324 Model,issued,n/a
LAP-F923FE1F87,Lenovo Laptop 324 Model,issued,yes
LAP-053793E39B,MacBook M2 Model,issued,no
LAP-EAFD9208C8,Lenovo Laptop 324 Model,issued,no
LAP-8D1D5FDB28,MacBook M2 Model,issued,no
LAP-74CC87A90C,MacBook M2 Model,issued,
LAP-327C2613D1,MacBook M2 Model,issued,
LAP-8DE405A046,Lenovo Laptop 324 Model,issued,n/a
LAP-7513A91FEE,MacBook M2 Model,issued,no
LAP-AE2103F405,MacBook M2 Model,issued,n/a
LAP-F04D273DB0,MacBook M2 Model,issued,yes
LAP-09FDE3A18C,MacBook M2 Model,issued,no
LAP-E10BB9C05F,MacBook M2 Model,issued,yes
LAP-880D8CE1CB,Lenovo Laptop 324 Model,issued,n/a
LAP-AB7EF1CA1F,Lenovo Laptop 324 Model,issued,
LAP-A374502E5B,Lenovo Laptop 324 Model,issued,n/a
LAP-9F9D871324,Lenovo Laptop 324 Model,issued,yes
LAP-6F9676E0C8,Lenovo Laptop 324 Model,issued,no
LAP-62D65DA127,MacBook M2 Model,issued,n/a
LAP-1A70903DC7,MacBook M2 Model,issued,no
LAP-CA2F38167E,Lenovo Laptop 324 Model,issued,
LAP-1674095896,MacBook M2 Model,issued,
LAP-9FE952A622,Lenovo Laptop 324 Model,issued,
LAP-DE404CAD9B,Lenovo Laptop 324 Model,issued,no
LAP-5471BF0BF2,Lenovo Laptop 324 Model,issued,n/a
LAP-E3DF503D96,Lenovo Laptop 324 Model,issued,no
LAP-BBAF001960,MacBook M2 Model,issued,no
LAP-45478B15E6,MacBook M2 Model,issued,n/a
LAP-96F888B45E,MacBook M2 Model,issued,
LAP-5DBE290A32,Lenovo Laptop 324 Model,issued,
LAP-0F5306AE0B,MacBook M2 Model,issued,n/a
LAP-A048D6D658,MacBook M2 Model,issued,no
LAP-8447073FA9,MacBook M2 Model,issued,no
LAP-CD7DFF62DE,MacBook M2 Model,issued,
LAP-E635D0EC6A,Lenovo Laptop 324 Model,issued,yes
LAP-3E4A163A38,MacBook M2 Model,issued,yes
LAP-A81E5B027E,Lenovo Laptop 324 Model,issued,yes
LAP-35859B1D63,Lenovo Laptop 324 Model,issued,no
LAP-15A1650B6E,MacBook M2 Model,issued,no
LAP-994D67A569,MacBook M2 Model,issued,
LAP-204DBD3F3B,Lenovo Laptop 324 Model,issued,yes
LAP-8AB89F4639,MacBook M2 Model,issued,
LAP-9CAAB7E41F,HP Book 2.0 Model,issued,
LAP-ECFE155683,HP Book 2.0 Model,issued,
LAP-AD777371B1,HP Book 2.0 Model,issued,n/a
LAP-4FDE17465E,Dell Laptop X12 Model,issued,yes
LAP-AD55E08C19,HP Book 2.0 Model,issued,yes
LAP-5F1819F801,HP Book 2.0 Model,issued,n/a
LAP-3D85B05F3A,HP Book 2.0 Model,issued,n/a
LAP-30D74A79DF,Dell Laptop X12 Model,issued,yes
LAP-2C09EC52DF,Dell Laptop X12 Model,issued,n/a
LAP-18B11A7322,Dell Laptop X12 Model,issued,
LAP-86E63D7BE5,HP Book 2.0 Model,issued,no
LAP-A58AD15288,Dell Laptop X12 Model,issued,
LAP-3F5ED36DFB,Dell Laptop X12 Model,issued,yes
LAP-3860A49F28,Dell Laptop X12 Model,issued,n/a
LAP-D50EFBC9BE,HP Book 2.0 Model,issued,no
LAP-49038A5D9A,Dell Laptop X12 Model,issued,yes
LAP-DC8B428900,Dell Laptop X12 Model,issued,n/a
LAP-67DB2046C8,Dell Laptop X12 Model,issued,no
LAP-CB635505DB,HP Book 2.0 Model,issued,no
LAP-944EC89756,Dell Laptop X12 Model,issued,n/a
LAP-B17DB6DCC6,Dell Laptop X12 Model,issued,no
LAP-2FED6CE593,HP Book 2.0 Model,issued,yes
LAP-C16D211FF7,HP Book 2.0 Model,issued,n/a
LAP-0ABD0617FF,HP Book 2.0 Model,issued,
LAP-2B4F71DEEC,Dell Laptop X12 Model,issued,yes
LAP-B488AB46FD,HP Book 2.0 Model,issued,yes
LAP-1EF4CF94D6,Dell Laptop X12 Model,issued,n/a
LAP-B0E627DC7A,Dell Laptop X12 Model,issued,n/a
LAP-1339888F56,HP Book 2.0 Model,issued,no
LAP-996ACD76F8,HP Book 2.0 Model,issued,yes
LAP-CC2DF17557,Dell Laptop X12 Model,issued,no
LAP-3435A2D3F2,HP Book 2.0 Model,issued,yes
LAP-92CDA4F5BD,Dell Laptop X12 Model,issued,yes
LAP-3F62CF4FDE,HP Book 2.0 Model,issued,
LAP-37C22E0B33,HP Book 2.0 Model,issued,yes
LAP-0009B6B5D8,HP Book 2.0 Model,issued,no
LAP-64185308C3,HP Book 2.0 Model,issued,no
LAP-432FA306E1,Dell Laptop X12 Model,issued,
LAP-EA9C0E676D,HP Book 2.0 Model,issued,no
LAP-1317225C3F,Dell Laptop X12 Model,issued,n/a
LAP-8D32DF97BE,HP Book 2.0 Model,issued,
LAP-32D881FF0E,Dell Laptop X12 Model,issued,no
LAP-B91D136E2A,HP Book 2.0 Model,issued,no
LAP-152988441E,HP Book 2.0 Model,issued,n/a
LAP-DB15D765E5,Dell Laptop X12 Model,issued,
LAP-BC7171B383,Dell Laptop X12 Model,issued,n/a
LAP-33F2C99C2A,Dell Laptop X12 Model,issued,
LAP-45DB85C556,Dell Laptop X12 Model,issued,
LAP-CAA6FFD3CD,HP Book 2.0 Model,issued,yes
LAP-487740F55E,HP Book 2.0 Model,issued,no
LAP-F603931680,HP Book 2.0 Model,issued,no
LAP-AC940D4B61,HP Book 2.0 Model,issued,yes
LAP-12BA2E62AA,HP Book 2.0 Model,issued,n/a
LAP-8A3B4A7505,HP Book 2.0 Model,issued,yes
LAP-84ED29B61E,Dell Laptop X12 Model,issued,no
LAP-C72D31F22E,Dell Laptop X12 Model,issued,no
LAP-634DC13095,Dell Laptop X12 Model,issued,yes
LAP-67F8952F84,Dell Laptop X12 Model,issued,yes
LAP-3C7ABD26D0,Dell Laptop X12 Model,issued,yes
LAP-C48365A3D3,Dell Laptop X12 Model,issued,no
LAP-09FF7B98D3,Dell Laptop X12 Model,issued,yes
LAP-18A31D26A2,Dell Laptop X12 Model,issued,yes
LAP-0CF1725322,HP Book 2.0 Model,issued,n/a
LAP-0503FC640F,Dell Laptop X12 Model,issued,yes
LAP-1B8C643349,HP Book 2.0 Model,issued,no
LAP-4716C12FD2,HP Book 2.0 Model,issued,n/a
LAP-7471190E22,HP Book 2.0 Model,issued,
LAP-6AF3779EB4,Dell Laptop X12 Model,issued,no
LAP-46AC2C8BD9,HP Book 2.0 Model,issued,no
LAP-86F2A1256E,HP Book 2.0 Model,issued,
LAP-83E6D61B8E,Dell Laptop X12 Model,issued,no
LAP-1123935B88,HP Book 2.0 Model,issued,
LAP-F2880B2F4F,HP Book 2.0 Model,issued,
LAP-9DC9BC832C,Dell Laptop X12 Model,issued,no
LAP-6B60C53151,HP Book 2.0 Model,issued,yes
LAP-23602BB951,HP Book 2.0 Model,issued,yes
LAP-0673A1CE4F,Dell Laptop X12 Model,issued,
LAP-D1E52EDE4F,HP Book 2.0 Model,issued,n/a
LAP-F3C861575E,HP Book 2.0 Model,issued,
LAP-72A2B13E34,Dell Laptop X12 Model,issued,
LAP-39E9D909F2,Dell Laptop X12 Model,issued,
LAP-561A155BE9,HP Book 2.0 Model,issued,yes
LAP-B5C6C7FA1C,HP Book 2.0 Model,issued,yes
LAP-4528D3DF39,Dell Laptop X12 Model,issued,yes
LAP-A3C5E4F47B,HP Book 2.0 Model,issued,
LAP-FF37847797,HP Book 2.0 Model,issued,n/a
LAP-B6CD02CF4A,HP Book 2.0 Model,issued,yes
LAP-5F8E00EA91,Dell Laptop X12 Model,issued,no
LAP-FA2D3F527D,HP Book 2.0 Model,issued,no
LAP-DFDB1173E8,HP Book 2.0 Model,issued,no
LAP-320AA40ED7,Dell Laptop X12 Model,issued,
LAP-03484DFABC,HP Book 2.0 Model,issued,no
LAP-756DCC1AAC,HP Book 2.0 Model,issued,
LAP-67C2946A7D,HP Book 2.0 Model,issued,no
LAP-3587BBE68F,HP Book 2.0 Model,issued,n/a
LAP-4BB642D9FD,HP Book 2.0 Model,issued,
LAP-1777F2CFC1,Dell Laptop X12 Model,issued,no
LAP-F4ED199D29,HP Book 2.0 Model,issued,yes
LAP-2260A02824,HP Book 2.0 Model,issued,
LAP-817D04092A,Dell Laptop X12 Model,issued,yes
LAP-12E453BA09,HP Book 2.0 Model,issued,yes
LAP-F287A3622B,HP Book 2.0 Model,issued,yes
LAP-0724BB3E70,HP Book 2.0 Model,issued,yes
LAP-FE901889E6,Dell Laptop X12 Model,issued,no
LAP-EBA7BE6D87,HP Book 2.0 Model,issued,no
LAP-5953473FD5,Dell Laptop X12 Model,issued,
LAP-B33DDD9616,HP Book 2.0 Model,issued,
LAP-C483514C3E,Dell Laptop X12 Model,issued,
LAP-5AABCFA1A6,Dell Laptop X12 Model,issued,no
LAP-5133B0BFBD,HP Book 2.0 Model,issued,
LAP-F078D1D8DC,Dell Laptop X12 Model,issued,yes
LAP-8E40B5834E,Dell Laptop X12 Model,issued,no
LAP-EBBD3071BC,HP Book 2.0 Model,issued,
LAP-2CD490F842,HP Book 2.0 Model,issued,yes
LAP-0F876A19CF,HP Book 2.0 Model,issued,
LAP-6224898336,Dell Laptop X12 Model,issued,n/a
LAP-9CC5353B1D,HP Book 2.0 Model,issued,
LAP-D13F3B3995,HP Book 2.0 Model,issued,n/a
LAP-528ACBDDFE,HP Book 2.0 Model,issued,
LAP-B0EDBABDAC,HP Book 2.0 Model,issued,
LAP-CC55CEA5E8,Dell Laptop X12 Model,issued,no
LAP-2E49DF2F85,HP Book 2.0 Model,issued,no
LAP-D1E8D83287,HP Book 2.0 Model,issued,n/a
LAP-D580823505,HP Book 2.0 Model,issued,no
LAP-2E8CC59E90,Dell Laptop X12 Model,issued,yes
LAP-8AAC3AF749,HP Book 2.0 Model,issued,yes
LAP-DA1D4525F2,Dell Laptop X12 Model,issued,n/a
LAP-CABE42B56D,HP Book 2.0 Model,issued,yes
LAP-5376297CB3,HP Book 2.0 Model,issued,yes
LAP-B4E6196A25,Dell Laptop X12 Model,issued,
LAP-0BE5A42C2F,Dell Laptop X12 Model,issued,no
LAP-9B3C9974F2,Dell Laptop X12 Model,issued,yes
LAP-C4231BA338,HP Book 2.0 Model,issued,yes
LAP-ABFE798F51,HP Book 2.0 Model,issued,no
LAP-87E5FCF802,HP Book 2.0 Model,issued,yes
LAP-12C6A201E2,HP Book 2.0 Model,issued,yes
LAP-B146ABE041,HP Book 2.0 Model,issued,no
LAP-03EDDA0686,HP Book 2.0 Model,issued,
LAP-FF8BB458F3,Dell Laptop X12 Model,issued,yes
LAP-A7BBE86D07,HP Book 2.0 Model,issued,no
LAP-FAB694EE23,Dell Laptop X12 Model,issued,yes
LAP-1937F6D6FD,Dell Laptop X12 Model,issued,yes
LAP-4411B2E132,Dell Laptop X12 Model,issued,
LAP-3F41A65129,HP Book 2.0 Model,issued,n/a
LAP-374C57726C,HP Book 2.0 Model,issued,n/a
LAP-39040DDF5F,Dell Laptop X12 Model,issued,no
LAP-0CB81D37DA,HP Book 2.0 Model,issued,n/a
LAP-80D25B33A0,HP Book 2.0 Model,issued,no
LAP-194E4451F2,Dell Laptop X12 Model,issued,n/a
LAP-5410232CCE,Dell Laptop X12 Model,issued,
LAP-2865A9156F,Dell Laptop X12 Model,issued,no
LAP-0170D49BAF,Dell Laptop X12 Model,issued,n/a
LAP-F29BC03DBC,Dell Laptop X12 Model,issued,
LAP-28B3A202F6,HP Book 2.0 Model,issued,n/a
LAP-89BC5CB541,Dell Laptop X12 Model,issued,yes
LAP-FB4C65F333,HP Book 2.0 Model,issued,yes
LAP-0697AE58CD,HP Book 2.0 Model,issued,
LAP-E2214553C2,HP Book 2.0 Model,issued,yes
LAP-19B0895532,Dell Laptop X12 Model,issued,yes
LAP-F00DB3415A,HP Book 2.0 Model,issued,no
LAP-4052BE487B,HP Book 2.0 Model,issued,n/a
LAP-EF3EDF7512,Dell Laptop X12 Model,issued,no
LAP-3BCD90AF88,HP Book 2.0 Model,issued,n/a
LAP-B79BC2C8BA,HP Book 2.0 Model,issued,yes
LAP-95514ED913,HP Book 2.0 Model,issued,no
LAP-505BC35089,HP Book 2.0 Model,issued,n/a
LAP-332EE0BE3F,Dell Laptop X12 Model,issued,n/a
LAP-FD2F27FFD0,HP Book 2.0 Model,issued,no
LAP-AD185F75F2,Dell Laptop X12 Model,issued,
LAP-2B647D6708,HP Book 2.0 Model,issued,n/a
LAP-507CD9FCA3,HP Book 2.0 Model,issued,yes
LAP-A8C1E15C0D,HP Book 2.0 Model,issued,n/a
LAP-91E783933A,HP Book 2.0 Model,issued,yes
LAP-C41D0D4D61,HP Book 2.0 Model,issued,no
LAP-4198F27043,Dell Laptop X12 Model,issued,n/a
LAP-AE698031D0,Dell Laptop X12 Model,issued,yes
LAP-BA908F5CF7,Dell Laptop X12 Model,issued,yes
LAP-168275213B,Dell Laptop X12 Model,issued,no
LAP-3D5F3DADC6,HP Book 2.0 Model,issued,n/a
LAP-0B24D590AC,HP Book 2.0 Model,issued,n/a
LAP-A116A00D96,Dell Laptop X12 Model,issued,no
LAP-2FED738F48,Dell Laptop X12 Model,issued,n/a
LAP-9C567B8A55,Dell Laptop X12 Model,issued,no
LAP-FD6ADF2A77,HP Book 2.0 Model,issued,n/a
LAP-F3A2BF1655,HP Book 2.0 Model,issued,
LAP-3E7D3BDCA8,HP Book 2.0 Model,issued,n/a
LAP-874A5DC332,Dell Laptop X12 Model,issued,yes
LAP-8C4088D5AC,Dell Laptop X12 Model,issued,yes
LAP-237AA34766,HP Book 2.0 Model,issued,
LAP-ACF5BFFC2C,Dell Laptop X12 Model,issued,n/a
LAP-3C269020B4,HP Book 2.0 Model,issued,yes
LAP-CECD99B243,HP Book 2.0 Model,issued,yes
LAP-048C3F9918,Dell Laptop X12 Model,issued,n/a
LAP-31D75B7156,HP Book 2.0 Model,issued,no
LAP-875EA9407A,HP Book 2.0 Model,issued,n/a
LAP-3BFB2B1516,Dell Laptop X12 Model,issued,no
LAP-FC833B5732,Dell Laptop X12 Model,issued,
LAP-2FA7C03B09,HP Book 2.0 Model,issued,
LAP-D24F748413,Dell Laptop X12 Model,issued,yes
LAP-D712AE495E,Dell Laptop X12 Model,issued,yes
LAP-584476D228,HP Book 2.0 Model,issued,yes
LAP-E7871B2CFB,HP Book 2.0 Model,issued,no
LAP-ADB7F3750E,Dell Laptop X12 Model,issued,yes
LAP-62865B4303,HP Book 2.0 Model,issued,n/a
LAP-BCD911E729,Dell Laptop X12 Model,issued,no
LAP-59C429C936,HP Book 2.0 Model,issued,
LAP-B317318203,HP Book 2.0 Model,issued,no
LAP-7B1997B989,HP Book 2.0 Model,issued,yes
LAP-FE43E48C5B,HP Book 2.0 Model,issued,n/a
LAP-1AEEC2C6C2,HP Book 2.0 Model,issued,n/a
LAP-2C14F020F4,Dell Laptop X12 Model,issued,yes
LAP-2C1889961C,HP Book 2.0 Model,issued,n/a
LAP-000776CD3B,HP Book 2.0 Model,issued,no
LAP-5B937B15B8,Dell Laptop X12 Model,issued,no
LAP-56BF8AB787,Dell Laptop X12 Model,issued,yes
LAP-B361FF32E8,HP Book 2.0 Model,issued,n/a
LAP-5E2A982025,Dell Laptop X12 Model,issued,
LAP-A8FF545953,Dell Laptop X12 Model,issued,no
LAP-5CE449B7BF,HP Book 2.0 Model,issued,no
LAP-3F60FA393B,HP Book 2.0 Model,issued,no
LAP-83A899FD4C,Dell Laptop X12 Model,issued,no
LAP-8BE35498D0,Dell Laptop X12 Model,issued,
LAP-EEF64CD719,HP Book 2.0 Model,issued,yes
LAP-FFAFCDCB4C,Dell Laptop X12 Model,issued,no
LAP-E2208324CB,HP Book 2.0 Model,issued,n/a
LAP-BF4AFE7885,Dell Laptop X12 Model,issued,
LAP-AD8A15C31D,Dell Laptop X12 Model,issued,no
LAP-15615CBAFD,HP Book 2.0 Model,issued,n/a
LAP-56678E0F8F,HP Book 2.0 Model,issued,no
LAP-5AECB717F5,HP Book 2.0 Model,issued,yes
LAP-B522D45515,Dell Laptop X12 Model,issued,
LAP-820D1EFC45,Dell Laptop X12 Model,issued,yes
LAP-5B2AB14A5D,Dell Laptop X12 Model,issued,
LAP-11E72DA219,Dell Laptop X12 Model,issued,no
LAP-F61BE297F1,HP Book 2.0 Model,issued,no
LAP-2C1C3CD57E,Dell Laptop X12 Model,issued,
LAP-7B2A10AAD6,Dell Laptop X12 Model,issued,n/a
LAP-CCC8171AF2,HP Book 2.0 Model,issued,n/a
LAP-BCEE45F97C,Dell Laptop X12 Model,issued,no
LAP-0113DB9D3D,Dell Laptop X12 Model,issued,no
LAP-5330DD7156,HP Book 2.0 Model,issued,yes
LAP-B530B3260B,Dell Laptop X12 Model,issued,no
LAP-AEABC3C95C,Dell Laptop X12 Model,issued,
LAP-875710B721,HP Book 2.0 Model,issued,n/a
LAP-F70EC57681,Dell Laptop X12 Model,issued,n/a
LAP-CEEC27408D,Dell Laptop X12 Model,issued,yes
LAP-DA17DBB1B6,Dell Laptop X12 Model,issued,n/a
LAP-7F1C747CA6,HP Book 2.0 Model,issued,n/a
LAP-E2249E6305,Dell Laptop X12 Model,issued,
LAP-F0AB862674,Dell Laptop X12 Model,issued,n/a
LAP-83925AA0C4,HP Book 2.0 Model,issued,yes
LAP-F6956DE126,HP Book 2.0 Model,issued,yes
LAP-2D24D2C97D,Dell Laptop X12 Model,issued,n/a
LAP-B556403510,Dell Laptop X12 Model,issued,no
LAP-E01F295DB8,Dell Laptop X12 Model,issued,n/a
LAP-CD9CCE57FB,HP Book 2.0 Model,issued,yes
LAP-5C7E7C9C01,Dell Laptop X12 Model,issued,yes
LAP-F594602C8D,Dell Laptop X12 Model,issued,
LAP-D16E3FBDA3,Dell Laptop X12 Model,issued,n/a
LAP-9E8F5D39A4,Dell Laptop X12 Model,issued,n/a
LAP-6C665D0003,Dell Laptop X12 Model,issued,
LAP-B583A72A12,Dell Laptop X12 Model,issued,yes
LAP-93620EBF38,Dell Laptop X12 Model,issued,
LAP-137291C507,HP Book 2.0 Model,issued,no
LAP-CE8119D990,Dell Laptop X12 Model,issued,n/a
LAP-98003DCF40,HP Book 2.0 Model,issued,yes
LAP-71D3564623,HP Book 2.0 Model,issued,
LAP-0911F5D696,Dell Laptop X12 Model,issued,yes
LAP-4797D55C87,Dell Laptop X12 Model,issued,no
LAP-EA54D5BFE9,HP Book 2.0 Model,issued,n/a
LAP-6818B53F29,Dell Laptop X12 Model,issued,
LAP-A335836E11,Dell Laptop X12 Model,issued,yes
LAP-23FAA1AA09,Dell Laptop X12 Model,issued,n/a
LAP-98B25DD20A,HP Book 2.0 Model,issued,n/a
LAP-225D04127F,Dell Laptop X12 Model,issued,yes
LAP-9887471995,HP Book 2.0 Model,issued,n/a
LAP-B8FF88DC8A,HP Book 2.0 Model,issued,n/a
LAP-C84744E681,HP Book 2.0 Model,issued,
LAP-47B4F8E58C,Dell Laptop X12 Model,issued,n/a
LAP-634C526510,HP Book 2.0 Model,issued,
LAP-C8E32F016C,HP Book 2.0 Model,issued,n/a
LAP-FF1867F2B1,HP Book 2.0 Model,issued,no
LAP-FACE35A13D,Dell Laptop X12 Model,issued,no
LAP-31877CBB79,HP Book 2.0 Model,issued,
LAP-06CD7ACFF4,HP Book 2.0 Model,issued,
LAP-914EE48047,HP Book 2.0 Model,issued,no
LAP-2A0811A80B,Dell Laptop X12 Model,issued,n/a
LAP-C9BFB4B475,Dell Laptop X12 Model,issued,
LAP-F6C3213720,Dell Laptop X12 Model,issued,yes
LAP-1C73F62724,HP Book 2.0 Model,issued,n/a
LAP-317C5B8C7C,Dell Laptop X12 Model,issued,n/a
LAP-372B6124E5,HP Book 2.0 Model,issued,no
LAP-CC7A913254,HP Book 2.0 Model,issued,
LAP-56B85C466C,HP Book 2.0 Model,issued,n/a
LAP-4006DEFB64,Dell Laptop X12 Model,issued,
LAP-CD6E166BB2,HP Book 2.0 Model,issued,
LAP-76C91AFAD2,Dell Laptop X12 Model,issued,
LAP-AF253767C3,HP Book 2.0 Model,issued,no
LAP-271EB87BD0,HP Book 2.0 Model,issued,
LAP-4044EE4CE1,HP Book 2.0 Model,issued,no
LAP-07D7FDC71F,HP Book 2.0 Model,issued,yes
LAP-F9C271D1C1,HP Book 2.0 Model,issued,n/a
LAP-55DC6E374B,Dell Laptop X12 Model,issued,n/a
LAP-B33BD50503,HP Book 2.0 Model,issued,yes
LAP-0EFC2CE823,HP Book 2.0 Model,issued,no
LAP-8467F46F93,Dell Laptop X12 Model,issued,n/a
LAP-2A59547396,HP Book 2.0 Model,issued,no
LAP-D6F44A0850,HP Book 2.0 Model,issued,no
LAP-6262838DB7,Dell Laptop X12 Model,issued,no
LAP-C48E213949,HP Book 2.0 Model,issued,yes
LAP-32B9A80C9D,HP Book 2.0 Model,issued,yes
LAP-A058B67F24,HP Book 2.0 Model,issued,no
LAP-B37107E7CD,HP Book 2.0 Model,issued,
LAP-875BE00EEB,HP Book 2.0 Model,issued,yes
LAP-1A87B0F2D7,Dell Laptop X12 Model,issued,
LAP-8B3B09CF18,Dell Laptop X12 Model,issued,
LAP-AF2B7AF833,Dell Laptop X12 Model,issued,no
LAP-21A5C6326F,Dell Laptop X12 Model,issued,
LAP-96C4FA03B5,Dell Laptop X12 Model,issued,
LAP-1222847051,HP Book 2.0 Model,issued,
LAP-3B73CFD409,Dell Laptop X12 Model,issued,no
LAP-D0EC751E16,Dell Laptop X12 Model,issued,no
LAP-CBADB1DD25,HP Book 2.0 Model,issued,yes
LAP-90572B94A5,HP Book 2.0 Model,issued,yes
LAP-7A2F195A4D,Dell Laptop X12 Model,issued,
LAP-55BD7A58B8,Dell Laptop X12 Model,issued,no
LAP-67AEC1F931,HP Book 2.0 Model,issued,no
LAP-A7103CED22,HP Book 2.0 Model,issued,
LAP-ED3C649BB3,HP Book 2.0 Model,issued,yes
LAP-DA3CE065EF,HP Book 2.0 Model,issued,no
LAP-CCA4AFEA1E,HP Book 2.0 Model,issued,yes
LAP-5442B7C02F,HP Book 2.0 Model,issued,
LAP-E4F84EAEFE,HP Book 2.0 Model,issued,no
LAP-88670FF622,Dell Laptop X12 Model,issued,
LAP-926B412C95,Dell Laptop X12 Model,issued,n/a
LAP-CB6F60BE2E,Dell Laptop X12 Model,issued,
LAP-8A72E51723,Dell Laptop X12 Model,issued,
LAP-96228B16DC,HP Book 2.0 Model,issued,
LAP-13B0413BF5,Dell Laptop X12 Model,issued,no
LAP-F2330808F2,Dell Laptop X12 Model,issued,
LAP-39AA02DA9A,HP Book 2.0 Model,issued,
LAP-DB005A88A1,HP Book 2.0 Model,issued,n/a
LAP-1DC4CF37A4,Dell Laptop X12 Model,issued,no
LAP-656DD478A5,HP Book 2.0 Model,issued,n/a
LAP-89C3C3CFEF,Dell Laptop X12 Model,issued,
LAP-9A2832CDE3,HP Book 2.0 Model,issued,no
LAP-8107944EFA,HP Book 2.0 Model,issued,n/a
LAP-D29A54F481,HP Book 2.0 Model,issued,
LAP-3F5C2942EF,HP Book 2.0 Model,issued,yes
LAP-D4E6DC77BE,HP Book 2.0 Model,issued,n/a
LAP-2555A445BC,HP Book 2.0 Model,issued,no
LAP-78BCA1E4E8,Dell Laptop X12 Model,issued,n/a
LAP-50DE5F06DF,Dell Laptop X12 Model,issued,n/a
LAP-50435B33A6,HP Book 2.0 Model,issued,n/a
LAP-7F6487EEBF,Dell Laptop X12 Model,issued,yes
LAP-EADD04E18E,HP Book 2.0 Model,issued,no
LAP-690D8BAE8B,HP Book 2.0 Model,issued,no
LAP-A3B2AA46F9,HP Book 2.0 Model,issued,no
LAP-C7D0FEF02B,Dell Laptop X12 Model,issued,
LAP-DC75F16D8B,HP Book 2.0 Model,issued,no
LAP-CE2A99B892,HP Book 2.0 Model,issued,no
LAP-0677651946,HP Book 2.0 Model,issued,yes
LAP-13633E6850,Dell Laptop X12 Model,issued,
LAP-23C09068BB,Dell Laptop X12 Model,issued,
LAP-347CB4215A,Dell Laptop X12 Model,issued,n/a
LAP-590AB21F2A,Dell Laptop X12 Model,issued,
LAP-266A8F602E,HP Book 2.0 Model,issued,
